Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_057.jpg;0;1;0;2.034589;46.08669;95.2672;1.301153;354.1833;-0.001180059
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_097.jpg;0;1;0;2.063709;46.16977;95.25839;1.303334;354.1746;-0.001165489
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_176.jpg;0;1;0;2.123115;46.33944;95.24037;1.306254;354.1598;-0.001172482
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_217.jpg;0;1;0;2.153386;46.42609;95.23116;1.310748;354.1521;-0.001214864
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_257.jpg;0;1;0;2.182781;46.51382;95.2218;1.310495;354.1453;-0.001204029
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_333.jpg;0;1;0;2.241666;46.69296;95.2027;1.318604;354.1296;-0.00124684
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_374.jpg;0;1;0;2.270879;46.78418;95.19294;1.318164;354.1228;-0.001239047
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_414.jpg;0;1;0;2.300325;46.87663;95.18304;1.320351;354.1146;-0.001260291
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_493.jpg;0;1;0;2.358432;47.06497;95.16285;1.325207;354.101;-0.001297763
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_533.jpg;0;1;0;2.386895;47.16084;95.15254;1.325006;354.0921;-0.001267713
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_573.jpg;0;1;0;2.416591;47.25788;95.1421;1.326431;354.084;-0.001272304
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_653.jpg;0;1;0;2.474173;47.45546;95.1208;1.333065;354.0687;-0.001318263
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_693.jpg;0;1;0;2.502878;47.55598;95.10993;1.337443;354.0612;-0.001324297
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_773.jpg;0;1;0;2.559647;47.76027;95.08782;1.336284;354.0459;-0.001329153
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_814.jpg;0;1;0;2.58896;47.86411;95.07656;1.335661;354.0376;-0.001322855
